Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,46.0,939.0,0.0,"(20, 218)",[]
0,2,51.0,1032.0,0.0,"(115, 190)",[]
0,3,50.0,1013.0,0.0,"(168, 280)",[]
0,4,53.0,1073.0,0.0,"(93, 226)","[[(102, 90), 4]]"
0,5,54.0,1085.0,0.0,"(229, 278)",[]
0,6,53.0,1062.0,0.0,"(50, 224)",[]
0,7,49.0,981.0,0.0,"(237, 275)",[]
0,8,55.0,1118.0,0.0,"(230, 267)",[]
0,9,48.0,961.0,0.0,"(197, 270)",[]
1,1,46.0,963.0,44.400000000000006,"(20, 218)",[]
1,2,49.0,1055.0,50.02927999999999,"(115, 190)",[]
1,3,45.0,1039.0,56.886129999999994,"(168, 280)",[]
1,4,53.0,1095.0,52.953,"(93, 226)","[[(102, 90), 4]]"
1,5,54.0,1126.0,58.379809098523765,"(229, 278)",[]
1,6,53.0,1086.0,51.03925,"(50, 224)",[]
1,7,49.0,1001.0,48.69325,"(237, 275)",[]
1,8,57.0,1158.0,56.44933,"(230, 267)",[]
1,9,48.0,986.0,48.77231999999999,"(197, 270)",[]
2,1,45.0,991.0,74.68879880000001,"(74, 130)",[]
2,2,48.0,1082.0,79.65886282294196,"(128, 215)",[]
2,3,44.0,894.0,75.26823997882595,"(104, 24)",[]
2,4,53.0,1125.0,78.76579299277,"(90, 152)","[[(102, 90), 4]]"
2,5,62.0,1160.0,82.59655561881448,"(152, 218)",[]
2,6,52.0,1086.0,47.627475000000004,"(210, 140)",[]
2,7,48.0,1019.0,62.967074699523124,"(107, 36)",[]
2,8,65.0,1180.0,81.6243071527501,"(40, 177)",[]
2,9,47.0,1017.0,76.64514138507188,"(237, 287)",[]
3,1,51.0,1021.0,88.94478234392929,"(109, 214)",[]
3,2,52.0,1110.0,92.4469471450164,"(209, 266)",[]
3,3,48.0,920.0,81.75526775524267,"(130, 246)",[]
3,4,60.0,1162.0,89.4136709072558,"(116, 140)","[[(102, 90), 4]]"
3,5,61.0,1194.0,79.80835575191296,"(73, 112)",[]
3,6,56.0,1114.0,81.20176668443281,"(73, 144)",[]
3,7,49.0,1056.0,82.22563066804744,"(82, 104)",[]
3,8,64.0,1202.0,57.99522305263444,"(112, 28)",[]
3,9,56.0,1047.0,85.28922308727866,"(177, 118)",[]
4,1,55.0,1052.0,88.89910719571722,"(61, 153)",[]
4,2,59.0,1138.0,88.26711549341663,"(71, 58)",[]
4,3,51.0,954.0,75.8784710295482,"(76, 236)",[]
4,4,68.0,1191.0,87.06568077331858,"(71, 126)","[[(102, 90), 4]]"
4,5,60.0,1234.0,79.27675414612378,"(67, 86)",[]
4,6,60.0,1155.0,80.76349210804845,"(192, 275)",[]
4,7,56.0,1095.0,84.72548417411758,"(121, 75)",[]
4,8,63.0,1129.0,62.56925416478129,"(212, 254)",[]
4,9,60.0,1077.0,80.10110511505603,"(90, 137)",[]
5,1,58.0,1091.0,80.80672292946741,"(114, 258)",[]
5,2,63.0,1166.0,84.29577076004227,"(75, 111)",[]
5,3,50.0,980.0,69.73237139064807,"(212, 236)",[]
5,4,65.0,1236.0,56.11736526795445,"(120, 97)","[[(102, 90), 4]]"
5,5,64.0,1268.0,92.20118206456519,"(142, 132)",[]
5,6,64.0,1195.0,82.34710667765299,"(99, 211)",[]
5,7,60.0,1130.0,80.5995428363575,"(210, 244)",[]
5,8,62.0,1163.0,62.162843148984095,"(92, 218)",[]
5,9,59.0,1104.0,72.80238195944585,"(133, 278)",[]
